
dc between calculated and observed response: -429.618 mgal


 distance    obs   calc grav anom  diff

  -463.967   -36.073   -17.788    18.285
  -462.972   -34.612   -13.693    20.920
  -461.977   -33.207    -9.598    23.610
  -460.981   -31.791    -5.503    26.289
  -459.986   -30.365    -1.444    28.921
  -458.991   -28.928     0.040    28.968
  -457.995   -27.480     1.525    29.005
  -457.000   -26.021     3.009    29.031
  -456.005   -24.552     4.494    29.046
  -455.009   -23.073     1.886    24.959
  -454.014   -21.582    -0.741    20.841
  -453.019   -20.526    -3.368    17.158
  -452.023   -19.492    -5.995    13.497
  -451.028   -18.448    -8.976     9.472
  -450.033   -17.393   -11.965     5.428
  -449.037   -16.327   -14.954     1.373
  -448.042   -15.250   -17.943    -2.692
  -447.047   -14.163   -18.897    -4.733
  -446.051   -13.066   -19.761    -6.695
  -445.056   -11.957   -20.625    -8.668
  -444.061   -10.838   -21.490   -10.652
  -443.065    -9.708   -21.447   -11.739
  -442.070    -9.058   -21.345   -12.287
  -441.074    -8.562   -21.243   -12.681
  -440.079    -8.064   -21.141   -13.077
  -439.084    -7.568   -20.435   -12.866
  -438.088    -7.066   -19.676   -12.610
  -437.093    -6.556   -18.917   -12.361
  -436.098    -6.040   -18.158   -12.119
  -435.102    -5.516   -16.906   -11.390
  -434.107    -4.985   -15.600   -10.615
  -433.112    -4.448   -14.294    -9.846
  -432.116    -3.904   -12.988    -9.084
  -431.121    -3.557   -11.822    -8.265
  -430.126    -3.360   -10.674    -7.313
  -429.130    -3.165    -9.526    -6.360
  -428.135    -2.972    -8.378    -5.406
  -427.140    -2.780    -7.395    -4.616
  -426.144    -2.589    -6.439    -3.850
  -425.149    -2.400    -5.483    -3.083
  -424.154    -2.212    -4.527    -2.315
  -423.158    -2.025    -3.611    -1.585
  -422.163    -1.840    -2.702    -0.861
  -421.168    -1.657    -1.793    -0.136
  -420.172    -1.514    -0.884     0.630
  -419.177    -1.429    -0.122     1.307
  -418.182    -1.343     0.608     1.951
  -417.186    -1.234     1.339     2.573
  -416.191    -1.068     2.070     3.137
  -415.196    -0.899     2.581     3.480
  -414.200    -0.729     3.040     3.768
  -413.205    -0.556     3.498     4.054
  -412.210    -0.381     3.957     4.339
  -411.214    -0.205     4.212     4.417
  -410.219    -0.026     4.413     4.438
  -409.224     0.151     4.613     4.462
  -408.228     0.319     4.813     4.495
  -407.233     0.493     4.875     4.382
  -406.237     0.675     4.896     4.221
  -405.242     0.864     4.917     4.053
  -404.247     1.061     4.938     3.878
  -403.251     1.264     4.879     3.615
  -402.256     1.475     4.794     3.319
